Year,State,Category,Type,Vehicles
1900,Alabama,Auto,,40
1900,Alabama,Bus,,0
1900,Alabama,Truck,,0
1900,Alabama,Motorcycle,,0
1900,Alaska,Auto,,0
1900,Alaska,Bus,,0
1900,Alaska,Truck,,0
1900,Alaska,Motorcycle,,0
1900,Arizona,Auto,,20
1900,Arizona,Bus,,0
1900,Arizona,Truck,,0
1900,Arizona,Motorcycle,,0
1900,Arkansas,Auto,,20
1900,Arkansas,Bus,,0
1900,Arkansas,Truck,,0
1900,Arkansas,Motorcycle,,0
1900,California,Auto,,780
1900,California,Bus,,0
1900,California,Truck,,0
1900,California,Motorcycle,,0
1900,Colorado,Auto,,90
1900,Colorado,Bus,,0
1900,Colorado,Truck,,0
1900,Colorado,Motorcycle,,0
1900,Connecticut,Auto,,160
1900,Connecticut,Bus,,0
1900,Connecticut,Truck,,0
1900,Connecticut,Motorcycle,,0
1900,Delaware,Auto,,30
1900,Delaware,Bus,,0
1900,Delaware,Truck,,0
1900,Delaware,Motorcycle,,0
1900,District of Columbia,Auto,,80
1900,District of Columbia,Bus,,0
1900,District of Columbia,Truck,,0
1900,District of Columbia,Motorcycle,,0
1900,Florida,Auto,,10
1900,Florida,Bus,,0
1900,Florida,Truck,,0
1900,Florida,Motorcycle,,0
1900,Georgia,Auto,,80
1900,Georgia,Bus,,0
1900,Georgia,Truck,,0
1900,Georgia,Motorcycle,,0
1900,Hawaii,Auto,,0
1900,Hawaii,Bus,,0
1900,Hawaii,Truck,,0
1900,Hawaii,Motorcycle,,0
1900,Idaho,Auto,,10
1900,Idaho,Bus,,0
1900,Idaho,Truck,,0
1900,Idaho,Motorcycle,,0
1900,Illinois,Auto,,600
1900,Illinois,Bus,,0
1900,Illinois,Truck,,0
1900,Illinois,Motorcycle,,0
1900,Indiana,Auto,,170
1900,Indiana,Bus,,0
1900,Indiana,Truck,,0
1900,Indiana,Motorcycle,,0
1900,Iowa,Auto,,40
1900,Iowa,Bus,,0
1900,Iowa,Truck,,0
1900,Iowa,Motorcycle,,0
1900,Kansas,Auto,,220
1900,Kansas,Bus,,0
1900,Kansas,Truck,,0
1900,Kansas,Motorcycle,,0
1900,Kentucky,Auto,,40
1900,Kentucky,Bus,,0
1900,Kentucky,Truck,,0
1900,Kentucky,Motorcycle,,0
1900,Louisiana,Auto,,60
1900,Louisiana,Bus,,0
1900,Louisiana,Truck,,0
1900,Louisiana,Motorcycle,,0
1900,Maine,Auto,,70
1900,Maine,Bus,,0
1900,Maine,Truck,,0
1900,Maine,Motorcycle,,0
1900,Maryland,Auto,,80
1900,Maryland,Bus,,0
1900,Maryland,Truck,,0
1900,Maryland,Motorcycle,,0
1900,Massachusetts,Auto,,600
1900,Massachusetts,Bus,,0
1900,Massachusetts,Truck,,0
1900,Massachusetts,Motorcycle,,0
1900,Michigan,Auto,,360
1900,Michigan,Bus,,0
1900,Michigan,Truck,,0
1900,Michigan,Motorcycle,,0
1900,Minnesota,Auto,,260
1900,Minnesota,Bus,,0
1900,Minnesota,Truck,,0
1900,Minnesota,Motorcycle,,0
1900,Mississippi,Auto,,20
1900,Mississippi,Bus,,0
1900,Mississippi,Truck,,0
1900,Mississippi,Motorcycle,,0
