State,Year,emission_value_mlns,energy_value
AK,2002,2.1430107656302884,8526
AK,2003,1.4107539499663178,8974
AK,2004,4.918639600439572,8964
AK,2005,3.5104076553068184,6220
AK,2006,1.0352689412365401,5330
AK,2007,1.1062537849175973,5673
AK,2008,0.9192500669179037,5363
AK,2009,3.2134444996537703,7238
AK,2010,1.4467066125295067,7793
AK,2011,1.0442199072522633,7522
AK,2012,0.842283882740332,7954
AK,2013,1.6296372211395642,8940
AK,2014,0.9152155011759906,11522
AK,2015,2.1008365213845273,13525
AK,2016,5.417688196473261,14371
AK,2017,0.8286694569589513,13136
AK,2018,7.72454893694898,13694
AK,2019,2.3446715139777163,12952
AK,2020,3.8271898893133107,9758
AK,2021,0.9103982688594722,9598
AK,2022,28.778532152524352,10410
AK,2023,1.860158310674454,10088
AL,2002,5.337385939177559,193946
AL,2003,4.670470164566118,199715
AL,2004,4.553609352903885,223107
AL,2005,4.440749458633166,213167
AL,2006,4.2901543174135846,219762
AL,2007,4.163288360316484,202747
AL,2008,3.732270835728777,198348
AL,2009,3.1754284894528144,194841
AL,2010,3.2008313396735795,210936
AL,2011,3.297935446621223,224020
AL,2012,2.892730460116537,220139
AL,2013,2.9051011262953366,257047
AL,2014,2.938538747113461,236143
AL,2015,2.6248905012627324,225387
AL,2016,2.4409549961578847,217520
AL,2017,2.8194387025956185,229886
AL,2018,2.7361190555165473,233969
AL,2019,2.398994251725001,232118
AL,2020,2.3977242566386185,235539
AL,2021,2.3665027173378985,239816
AL,2022,2.4246446333010887,232035
AL,2023,2.334653321077748,222189
AR,2002,2.723257638725793,85421
AR,2003,2.769983696409911,90112
AR,2004,3.0182044196079016,88907
AR,2005,3.082992085520869,92426
AR,2006,2.91982882365258,90521
AR,2007,2.9581328853486926,100787
AR,2008,2.4581790491598485,96259
AR,2009,2.2819471781649225,104241
AR,2010,2.7031738010662654,115373
AR,2011,2.456541049400477,116386
AR,2012,2.337406613224248,111545
AR,2013,2.2453316387967326,115098
AR,2014,2.110699395804481,115127
AR,2015,1.9192778709103422,107425
AR,2016,2.5355851526896345,105871
AR,2017,2.4310927594198435,103842
AR,2018,2.3463742748540057,105008
AR,2019,2.1534302578810665,106733
