State,NAME,Year,Energy,value,INTPTLAT,INTPTLON
AK,Alaska,2002,Solar,0,63.347356,-152.8397334
AL,Alabama,2002,Solar,82,32.7395785,-86.8434469
AR,Arkansas,2002,Solar,500,34.8955256,-92.4446262
AZ,Arizona,2002,Solar,2865,34.2039362,-111.6063449
CA,California,2002,Solar,17815,37.1551773,-119.5434183
CO,Colorado,2002,Solar,197,38.9937669,-105.5087122
CT,Connecticut,2002,Solar,362,41.5798637,-72.7466572
DC,District of Columbia,2002,Solar,1,38.9042429,-77.0165243
DE,Delaware,2002,Solar,13,38.9985661,-75.441644
FL,Florida,2002,Solar,25655,28.3989775,-82.5143005
GA,Georgia,2002,Solar,231,32.6295789,-83.4235109
HI,Hawaii,2002,Solar,1233,19.8281671,-155.4950421
IA,Iowa,2002,Solar,6,42.0700227,-93.4933492
ID,Idaho,2002,Solar,2,44.348422,-114.558854
IL,Illinois,2002,Solar,320,40.1028754,-89.1526108
IN,Indiana,2002,Solar,38,39.9013136,-86.2919129
KS,Kansas,2002,Solar,22,38.4985464,-98.3834298
KY,Kentucky,2002,Solar,4,37.5336844,-85.2929801
LA,Louisiana,2002,Solar,56,30.708319,-91.6046207
MA,Massachusetts,2002,Solar,153,42.1565196,-71.4895915
MD,Maryland,2002,Solar,39,38.9466584,-76.6744939
ME,Maine,2002,Solar,96,45.4092843,-68.666616
MI,Michigan,2002,Solar,210,44.8441768,-85.6604907
MN,Minnesota,2002,Solar,225,46.3159573,-94.1996043
MO,Missouri,2002,Solar,77,38.3507508,-92.456782
MS,Mississippi,2002,Solar,9,32.6864714,-89.6561377
MT,Montana,2002,Solar,2,47.051177,-109.6348174
NC,North Carolina,2002,Solar,99,35.53971,-79.1308636
ND,North Dakota,2002,Solar,1,47.442174,-100.4608258
NE,Nebraska,2002,Solar,12,41.543305,-99.8118641
NH,New Hampshire,2002,Solar,28,43.6727945,-71.5841886
NJ,New Jersey,2002,Solar,840,40.1072744,-74.6652012
NM,New Mexico,2002,Solar,327,34.4346844,-106.131618
NV,Nevada,2002,Solar,562,39.3310928,-116.6151469
NY,New York,2002,Solar,535,42.9133974,-75.5962723
OH,Ohio,2002,Solar,117,40.4149297,-82.7119975
OK,Oklahoma,2002,Solar,44,35.5900815,-97.4867789
OR,Oregon,2002,Solar,656,43.9717125,-120.6229578
PA,Pennsylvania,2002,Solar,394,40.9046042,-77.8275233
RI,Rhode Island,2002,Solar,26,41.596485,-71.5264901
SC,South Carolina,2002,Solar,22,33.8741776,-80.8542639
SD,South Dakota,2002,Solar,3,44.4467957,-100.2381762
TN,Tennessee,2002,Solar,43,35.85846,-86.3496339
TX,Texas,2002,Solar,527,31.4347032,-99.2818238
UT,Utah,2002,Solar,38,39.3349925,-111.6563326
VA,Virginia,2002,Solar,178,37.5222512,-78.6681938
VT,Vermont,2002,Solar,30,44.0589536,-72.6710173
WA,Washington,2002,Solar,227,47.4073238,-120.5757999
WI,Wisconsin,2002,Solar,173,44.6309071,-89.7093916
WV,West Virginia,2002,Solar,30,38.6472854,-80.6183274
WY,Wyoming,2002,Solar,2,42.9896591,-107.5443922
AK,Alaska,2003,Solar,0,63.347356,-152.8397334
AL,Alabama,2003,Solar,68,32.7395785,-86.8434469
AR,Arkansas,2003,Solar,367,34.8955256,-92.4446262
AZ,Arizona,2003,Solar,2747,34.2039362,-111.6063449
CA,California,2003,Solar,17284,37.1551773,-119.5434183
CO,Colorado,2003,Solar,190,38.9937669,-105.5087122
CT,Connecticut,2003,Solar,399,41.5798637,-72.7466572
DC,District of Columbia,2003,Solar,1,38.9042429,-77.0165243
DE,Delaware,2003,Solar,10,38.9985661,-75.441644
FL,Florida,2003,Solar,24705,28.3989775,-82.5143005
GA,Georgia,2003,Solar,236,32.6295789,-83.4235109
HI,Hawaii,2003,Solar,1251,19.8281671,-155.4950421
IA,Iowa,2003,Solar,5,42.0700227,-93.4933492
ID,Idaho,2003,Solar,3,44.348422,-114.558854
IL,Illinois,2003,Solar,385,40.1028754,-89.1526108
IN,Indiana,2003,Solar,37,39.9013136,-86.2919129
